link_meci,data_meci,echipa_gazda,echipa_oaspete,goluri_gazda,goluri_oaspete,posesie_minge_gazda,posesie_minge_oaspete,total_suturi_gazda,total_suturi_oaspete,suturi_pe_poarta_gazda,suturi_pe_poarta_oaspete,cornere_gazda,cornere_oaspete,cartonase_galbene_gazda,cartonase_galbene_oaspete,cartonase_rosii_gazda,cartonase_rosii_oaspete,ofsaiduri_gazda,ofsaiduri_oaspete,lovituri_libere_gazda,lovituri_libere_oaspete,aruncari_de_la_margine_gazda,aruncari_de_la_margine_oaspete,faulturi_gazda,faulturi_oaspete,interventii_portar_gazda,interventii_portar_oaspete
https://www.flashscore.ro/meci/fotbal/fc-voluntari-WIoSeFi4/unirea-slobozia-6XmrBYL3/sumar/statistici/0/?mid=UPH2KsYh,02.06.2025,Unirea Slobozia,FC Voluntari,2,0,68%,32%,16,13,6,5,4,3,2,1,0,0,1,0,19,18,38,30,,,5,5
https://www.flashscore.ro/meci/fotbal/fc-hermannstadt-pUUuFXvI/sepsi-IDsPIcMA/sumar/statistici/0/?mid=WvwSkNl2,28.03.2025,Sepsi Sf. Gheorghe,FC Hermannstadt,0,2,47%,53%,17,11,4,9,9,2,2,2,0,0,0,2,11,17,34,28,,,7,4
https://www.flashscore.ro/meci/fotbal/farul-constanta-CrJbN1Pa/fc-botosani-GjY1JjUS/sumar/statistici/0/?mid=jJnneIQs,29.03.2025,FC Botoșani,Farul Constanța,4,3,55%,45%,25,14,7,6,6,2,4,2,0,0,0,1,11,12,28,23,,,3,3
https://www.flashscore.ro/meci/fotbal/rapid-bucuresti-YFCpigVG/univ-craiova-bsd9fGaK/sumar/statistici/0/?mid=SOJMZ3UI,29.03.2025,Rapid București,Univ. Craiova,1,2,47%,53%,14,13,5,8,6,3,3,1,0,0,0,2,13,14,17,22,,,6,4
https://www.flashscore.ro/meci/fotbal/fc-uta-arad-QDiPqBNj/poli-iasi-t84qisiU/sumar/statistici/0/?mid=CYzegdef,30.03.2025,Poli Iași,UTA Arad,4,0,27%,73%,14,24,9,8,2,7,2,3,0,0,1,1,7,20,14,25,,,8,5
https://www.flashscore.ro/meci/fotbal/dinamo-bucuresti-rBgMi3MH/fcsb-Gv2kjDpN/sumar/statistici/0/?mid=QaN5wnVg,30.03.2025,Dinamo București,FCSB,1,2,48%,52%,8,15,2,5,4,10,6,4,0,0,1,0,16,10,16,24,,,3,1
https://www.flashscore.ro/meci/fotbal/gloria-buzau-hduMiL46/otelul-galati-2H5uhNyO/sumar/statistici/0/?mid=Kbv3izQ6,31.03.2025,Gloria Buzău,Oţelul Galaţi,0,2,56%,44%,7,14,2,4,5,6,4,4,0,0,1,0,26,12,23,27,,,2,2
https://www.flashscore.ro/meci/fotbal/cfr-cluj-4KfIhq7B/u-cluj-Us6gkXaT/sumar/statistici/0/?mid=YPQDyQa6,31.03.2025,'U' Cluj,CFR Cluj,1,0,38%,62%,4,21,2,8,4,5,4,3,0,0,3,2,8,15,17,34,,,8,1
https://www.flashscore.ro/meci/fotbal/otelul-galati-2H5uhNyO/poli-iasi-t84qisiU/sumar/statistici/0/?mid=6VUx4D9C,04.04.2025,Oţelul Galaţi,Poli Iași,1,0,50%,50%,15,10,3,2,8,1,1,0,0,0,3,1,6,10,28,23,,,2,2
https://www.flashscore.ro/meci/fotbal/petrolul-dhnNlCE9/sepsi-IDsPIcMA/sumar/statistici/0/?mid=GQXBkEfJ,04.04.2025,Petrolul Ploiești,Sepsi Sf. Gheorghe,2,1,33%,67%,6,14,4,8,2,6,2,2,0,0,4,0,12,9,26,35,,,7,2
https://www.flashscore.ro/meci/fotbal/fc-botosani-GjY1JjUS/fc-uta-arad-QDiPqBNj/sumar/statistici/0/?mid=pGtU5Zv0,05.04.2025,UTA Arad,FC Botoșani,1,0,42%,58%,11,7,4,1,7,2,4,1,0,0,2,0,18,18,27,24,,,1,3
https://www.flashscore.ro/meci/fotbal/fcsb-Gv2kjDpN/u-cluj-Us6gkXaT/sumar/statistici/0/?mid=KI68c7MP,05.04.2025,FCSB,'U' Cluj,1,0,54%,46%,12,3,3,2,3,0,1,2,0,0,3,0,10,9,30,30,,,2,2
